rating,text,date
1,"Groww trading app gives very misleading notifications. When the market goes up, it sends notifications suggesting PUT, and when the market goes down, it sends CALL notifications. This confuses traders and can cause losses. It feels like the app is misleading investors and putting their money at risk. Very disappointing",2026-03-12
5,Not charging Much Broker Amount rather than other App,2026-03-12
4,Nice experience with the app. Portfolio tracking and stock buying process work smoothly.,2026-03-12
1,"not showing update, and when order executed also not updating. showing app error when we buy 1 time that is taking double time . worst situation. when we contact customer care they are saying different answers . worst performance of app. and not even providing solutions to our problem. service also no1 worst.",2026-03-12
5,Smooth performance and simple layout. Investing in mutual funds and monitoring returns is very convenient.,2026-03-12
2,"ok da Aaj 9 aa ji ka phone AA*ZZ, 00 9d se*add f cc'XXL a good ©©a,d, xxx Ssi ex3f ea as sa xxx z ex sa xxx c cc w xcxa9 cc x9 DD",2026-03-12
1,Worst safe exit system ever seen .. Angle one works a thousand times better than Groww ..,2026-03-12
4,"Simple and easy to use app. Investing in stocks and mutual funds is smooth, and the interface is clean.",2026-03-12
5,nice app vest knowledge in this app,2026-03-12
5,very easy and fast tracking all funds,2026-03-12
2,app me aapko call put ek hi strike price pr set hoti isme scalping feature me Alag alag strike price so hona chiye & stop-loss chart pr nhi lagta & trailing stoploss ka feature bhi nhi hai is scalping tab me,2026-03-12
1,please increase the limit of watchlist 10 to 20,2026-03-12
5,"so d h a t be*aacef,, d saed eea ji. dserre h na r rd dcc xd xx se xx cutt ttd TT suruy zidd",2026-03-12
5,want a comment section on every stock page,2026-03-12
5,plese every time same protection helped with yours....,2026-03-12
5,Very good app for trading and mutual fund sip,2026-03-12
5,"Now i can say this application is best for trading and investment in stocks, commodity, etc.",2026-03-12
5,Easily and Executed the stocks by Searching. Useful for New traders like me.,2026-03-12
1,Don't install this application feature and options ke liye sahi nahi hai buy limit kuchh set karo aur same price par buy ho jata hai Target TP cross hone ke baad bhi sell nahi hota hai very bad application,2026-03-12
5,Please add lower Time frame like 30 second.,2026-03-12
5,"This application is very easy to handle, user friendly, easy mode to understand about stock market, commodity & IPOs... I'm happy with you",2026-03-12
2,The app was working just fine when they disabled the feature that would let you export the external funds as well. By when can we expect the feature enablement? The dashboard has old data for the portfolio that really doesn't help to track my investments.,2026-03-12
4,UI is best from peers. please implement SL order for MTF order.,2026-03-12
1,wrost app brokerage is so high than others,2026-03-12
4,"add more options in ""Add Money"" like Credit/Debit Card",2026-03-12
5,x dredd e rd rd ctf rerrt,2026-03-12
1,"Very poor, if you search for call or put option it will not show you near by expiry it will show you dec expiry, march last expiry, very poor support team, they will disconnect the call if you raise your issue.",2026-03-12
5,it is too easy to trade ans earn your wish.,2026-03-12
5,good and easy to trade with relaxs,2026-03-12
1,Refresh external fund is on hold now. I। switching to other app.,2026-03-12
1,suorer bacca groww team amar main balance bare bare khali negative koira rakhe suorer bacca sala ra,2026-03-12
1,plz notice everyone very bad experience this app take hidden charges just calculate one time all your added fund and brokerage taxes and losses then also you get less money I faced a very very bad experience and from 2-3 days I am contacting the customer service but not got any satisfaction with my queries,2026-03-12
4,"Super app with zero AMC charges. But I have only one suggestion, please provide an option to buy stocks on the basis of amount. It only shows quantity, converting into amount takes time and makes some user confused on the conversion. so please work on this to provide 'Amount option while buying stocks'",2026-03-11
4,good but brokage charge is too much,2026-03-11
1,I am searching some app it's giving me something else. why u r promoting that which I don't want.,2026-03-11
5,great app experience but brokerage thoda jyada h,2026-03-11
2,order get canceled with out reason in intraday if delivery was taken at 11 am in morning no reason anything and also autopay will be added of any amount without consent some time seems like scan. please watch out for autopay if not active might be 15k auto can be added automatically.,2026-03-11
1,worst experience in Groww app. Poor customer care service.,2026-03-11
5,"its very user friendly no doubt.My suggestions are -1* Looking at one's portfolio ,loss making stocks, when to exit & for new purchase when to opt.In this era of on-line fraud its difficult to identify the fraudsters so request.2* Long term large cap,mid- cap & small if individual personalised advice ,of course ,I don't mean free of cost but you can charge me but it is reliable, authentic & trustworthy.As the study of stocks, technical ,fundamental ,have done but still no clear cut idea.",2026-03-11
5,"A very good app, which gives you information about the market and around the world that seems to be the niche of it..",2026-03-11
1,Trust me App Sucks I made my account in Groww For Sips but there's a message always shows me something went wrong please try again later fix this disgusting issue please,2026-03-11
3,MTf charges are high compared to other brokers minor bugs,2026-03-11
5,my sher. long time 3 years good shees,2026-03-11
1,frud app hai charges pahle karleta hai aur profit jitna hai utna nhi bhejta mat dounload karo,2026-03-11
1,"very low my amount in last 1 year , mid cap investment",2026-03-11
1,Date=11-03-2026 Sensex 12 march 77500 put Buy Entry price=627.60=12:54 pm Stop Loss=593.60=1:00 pm Target Price=777 1:00 pm candle low price is 596.70 than how can my stop loss hit??? And after that 1:17 Candle my target hit 777 Rs 2988 Rs And Groww close my trade At -689 Rs I want refund of my profitable Trade 2988 Rs in my demat ac or my bank ac.. If groww app you are not fraud than refund my profitable trade 2988 Rs please..If refund come in my account than i will delete this negetive review,2026-03-11
4,"It's unable to import external funds from the past 10 days. Why? is there any issue? If so, is there any ETR? And we dont have any complaints or escalation mechanisms in the app, please provide these.",2026-03-11
1,worest performance please don't use traders use less,2026-03-11
1,"i don't understand why the external funds tracking is currently not available, I have already contacted the support team on it but still no update",2026-03-11
5,bast munny app so good eranig app,2026-03-11
